Algorithm,Request Count,Mean,Median
ROUND-ROBIN,5,6.40932,6.007197
LEAST-LOADED,5,6.61091,6.009166
RANDOM,5,6.40958,6.007993
ROUND-ROBIN,10,6.90843,7.5073805
LEAST-LOADED,10,7.00949,7.508435
RANDOM,10,7.43805,7.834915
ROUND-ROBIN,15,7.42021,8.008216
LEAST-LOADED,15,7.67147,8.009575
RANDOM,15,7.34679,7.009864
ROUND-ROBIN,20,7.15577,7.0099395
LEAST-LOADED,20,7.10098,7.507414000000001
RANDOM,20,7.91305,8.009386500000002
ROUND-ROBIN,25,6.56921,7.007503
LEAST-LOADED,25,7.58613,8.008325
RANDOM,25,7.51797,8.007431
