Algorithm,Request Count,Mean,Total Jobs,Median
ROUND-ROBIN,5,2.00236,40,2.0022395
LEAST-LOADED,5,2.00138,40,2.0012075
RANDOM,5,2.00177,40,2.0024224999999998
ROUND-ROBIN,10,2.00184,80,2.0016809999999996
LEAST-LOADED,10,2.00115,80,2.000836
RANDOM,10,2.00201,80,2.001451
ROUND-ROBIN,15,2.00201,120,2.002112
LEAST-LOADED,15,2.00166,120,2.00163
RANDOM,15,2.00186,120,2.001895
ROUND-ROBIN,20,2.00183,160,2.0017855
LEAST-LOADED,20,2.00188,160,2.001734
RANDOM,20,2.00162,160,2.001384
ROUND-ROBIN,25,2.00197,200,2.00189
LEAST-LOADED,25,2.0016,200,2.001439
RANDOM,25,2.00171,200,2.001874
